time,Lx,V,P_impulse,P_IG,U,T,W_cum,PV_gamma(IG),T*V^(gamma-1),events,alpha_upper,alpha_IG,sigma_upper,sigma_IG
0.6,19.98,7992,0.668579570098,0.377289910279,4522.95144442,0.330335337746,5.34863656078,1205316.17085,132.046030987,19,0.016738326463,-2.33361692455,-0.0507007831287,7.06858035412
0.8,19.94,7976,0.643175977127,0.378902281859,4533.18690016,0.33108288783,15.6394521948,1206430.9299,132.168156212,31,-0.0553598930916,-4.24129335543,0.167397543493,12.8248457373
1.2,19.86,7944,0.767873102436,0.382455860431,4557.34403289,0.332847212452,40.2113914728,1209613.74338,132.516843053,74,-0.414806548257,-12.3903637455,1.24954885486,37.3243018814
1.7,19.76,7904,0.748066799495,0.38684087141,4586.38537144,0.334968256751,70.1340634526,1213232.13658,132.913248968,88,-0.881333433141,-14.5370236776,2.63945198572,43.5360495467
2.2,19.66,7864,0.747632999798,0.391257007091,4615.26765564,0.337077684461,100.039383445,1216749.85508,133.298625666,88,-1.02303578856,-14.3436479476,3.04454123097,42.6865101564
2.7,19.56,7824,0.74403255247,0.395650413261,4643.35325004,0.339128925653,129.800685543,1219999.61415,133.654646599,92,-1.67570770604,-14.0234297731,4.95620031208,41.4767603964
3.2,19.46,7784,0.555915339161,0.399588957568,4665.60066857,0.340753773632,152.03729911,1221663.28938,133.83690725,76,0.0108049638486,-6.33203555923,-0.0317847883466,18.6268471485
3.7,19.36,7744,0.726829106087,0.404012999674,4693.01500422,0.342755989207,181.110463353,1224628.1736,134.161719282,88,-1.65882859429,-13.0013958885,4.85385486639,38.0430437
4.2,19.26,7704,0.593482036457,0.408074203151,4715.70549161,0.344413196875,204.849744812,1226308.1035,134.345760681,79,-1.04879406213,-7.49775540949,3.05250608838,21.8221525684
4.7,19.16,7664,0.637475017897,0.412291891904,4739.70758933,0.346166198461,230.348745527,1228279.7376,134.561759159,82,-1.49690300073,-9.09191287546,4.33520898781,26.3312602052
5.2,19.06,7624,0.688571924824,0.41658386723,4764.05310565,0.347944281745,257.89162252,1230289.33715,134.781916866,93,-3.19736067315,-10.9656018288,9.21282926661,31.5961281136
5.7,18.96,7584,0.616208503836,0.420803563849,4787.06134235,0.349624696344,282.539962674,1231903.29399,134.958730717,82,-1.64010345228,-7.90081939114,4.70234056787,22.6524390829
6.2,18.86,7544,0.762596050527,0.425357956396,4813.35063458,0.35154474398,313.043804695,1234309.37321,135.222323971,104,-4.21454979136,-13.5808787348,12.0214873866,38.7377941873
6.7,18.76,7504,0.660847362831,0.429720483423,4836.93376141,0.353267145882,339.477699208,1235968.58202,135.404095313,86,-2.85076767906,-9.33256431091,8.08944264438,26.4824258647
7.2,18.66,7464,0.658584575843,0.434070332526,4859.85144297,0.354940946755,365.821082242,1237407.72218,135.56175747,84,-3.4257014801,-9.06780074907,9.67427939815,25.6077298279
7.7,18.56,7424,0.744705806572,0.438536662747,4883.54427635,0.356671361112,395.609314505,1238993.93175,135.735531524,89,-6.09539887729,-12.3363370606,17.1312351119,34.6715112265
8.2,18.46,7384,0.567455589277,0.442675155349,4903.07002064,0.358097430663,418.307538076,1239475.54278,135.788293469,73,-3.17247928203,-5.07419383289,8.8769384409,14.1981404093
8.7,18.36,7344,0.727653768095,0.447260073909,4927.01697418,0.359846404775,447.4136888,1241027.04199,135.958264898,94,-5.15919718602,-11.3076987933,14.3721470437,31.5002322887
9.2,18.26,7304,0.654222733859,0.451857019914,4950.54551018,0.361564819616,473.582598154,1242421.54691,136.111037129,83,-2.64037335542,-8.18681834292,7.3200229388,22.6966758102
9.7,18.16,7264,0.797576473508,0.456626740067,4975.40495977,0.363380438196,505.485657094,1244097.44844,136.294637209,88,-7.04360934286,-13.7336519857,19.4321137133,37.8887973614
10.2,18.06,7224,0.69164888329,0.461317057046,4998.83163015,0.365091413245,533.151612426,1245362.37788,136.433214053,93,-4.2392849515,-9.30733481048,11.6388435411,25.5530389872
