time,Lx,V,dt,events,P_impulse_proxy,P_IG,U,T,W_cum,PV_gamma(IG),T*V^(gamma-1),alpha_upper,alpha_IG,sigma_upper,sigma_IG
0.7,19.96,7984,0.2,30,0.573945524409,0.377987770434,4526.78153871,0.33061507002,9.18312839055,1205531.68435,132.069641142,0.0123407881516,-3.14751552355,-0.037364706675,9.52986088474
1.1,19.88,7952,0.4,74,0.743875953281,0.381480927591,4550.30450431,0.332333078024,32.9871588955,1208556.0097,132.400965129,-0.281064913649,-11.6526798922,0.847924274253,35.1541215601
1.6,19.78,7912,0.5,93,0.790572576251,0.385999046084,4581.03667892,0.334577613126,64.6100619456,1212634.80464,132.847809448,-0.890728431265,-16.2736149264,2.67120753374,48.8029810959
2.1,19.68,7872,0.5,87,0.732325125608,0.390364437395,4609.42327676,0.336650838209,93.9030669699,1216033.07773,133.220100541,-0.906407191053,-13.7660136424,2.70074127296,41.0173722971
2.6,19.58,7832,0.5,87,0.704236795006,0.39464101378,4636.24262989,0.338609599028,122.07253877,1218961.57614,133.540926396,-1.35011866994,-12.4696219059,3.99880874248,36.9327779869
3.1,19.48,7792,0.5,82,0.655296652903,0.398832395807,4661.55304219,0.340458153827,148.284404886,1221439.61242,133.812402763,-0.901453811254,-10.3426403853,2.65497458086,30.4612915039
3.6,19.38,7752,0.5,84,0.645203371926,0.403051722854,4686.68543334,0.342293706788,174.092539763,1223818.61645,134.073029848,-0.675743726768,-9.77069480968,1.97947091982,28.6215106053
4.1,19.28,7712,0.5,82,0.656338086027,0.40726193765,4711.20609473,0.344084581853,200.346063204,1225986.03909,134.310477552,-1.73286205068,-10.0474875382,5.04929156227,29.2768221387
4.6,19.18,7672,0.5,84,0.610720824843,0.411441000577,4734.86303464,0.345812374718,224.774896198,1227878.01771,134.51774953,-0.771893087508,-8.0550041103,2.23770544327,23.3513252481
5.1,19.08,7632,0.5,77,0.627551070084,0.415534417967,4757.03801688,0.347431932288,249.876939002,1229336.95639,134.677580673,-2.92706056126,-8.56275109166,8.44452823249,24.7034155351
5.6,18.98,7592,0.5,90,0.657906494465,0.419873606882,4781.52063517,0.349220028862,276.19319878,1231342.60993,134.897306083,-1.83364148768,-9.60834261628,5.26415366623,27.5843409683
6.1,18.88,7552,0.5,108,0.792445764578,0.424503868008,4808.7798168,0.351210912708,307.891029363,1234008.88677,135.189404773,-4.43864895736,-14.8105598227,12.6740516272,42.2898502727
6.6,18.78,7512,0.5,90,0.659444136349,0.428857968051,4832.371584,0.352933945662,334.268794817,1235680.27926,135.372510875,-2.78599825442,-9.31076693991,7.91313952323,26.445600871
