time,Lx,V,dt,events,P_impulse_proxy,P_IG,U,T,W_cum,PV_gamma(IG),T*V^(gamma-1),alpha_upper,alpha_IG,sigma_upper,sigma_IG
10,18.1,7240,0.5,83,0.702619628398,0.459367045444,4988.72611352,0.36435335331,521.357337805,1244679.2412,136.358374364,-4.76343367725,-9.82358630761,13.1043213651,27.0249237536
10.5,18,7200,0.5,96,0.672425547358,0.463927468195,5010.41665651,0.36593752969,548.254359699,1245482.36028,136.446358488,-5.20647890144,-8.43137106763,14.2586441174,23.0904459138
11,17.9,7160,0.5,96,0.760718650143,0.46853230731,5032.03698051,0.367516577601,578.683105705,1246219.60727,136.527126125,-8.80842200966,-11.7797922025,24.0190133837,32.1214158744
11.5,17.8,7120,0.5,86,0.641731479193,0.473243575871,5054.24139031,0.369138284422,604.352364872,1247052.44062,136.618365536,-3.46484936753,-6.83399204864,9.40698160334,18.5541218852
12,17.7,7080,0.5,74,0.615114192643,0.477917243743,5075.48112855,0.37068953612,628.956932578,1247598.36445,136.678173143,-3.36482945852,-5.58159542975,9.09625014117,15.0889038632
12.5,17.6,7040,0.5,91,0.77573643347,0.482944746041,5099.89651819,0.372472722626,659.986389917,1248873.77017,136.817897696,-6.6140676987,-11.8124978377,17.799794381,31.7898216673
13,17.5,7000,0.5,75,0.613052287196,0.487501217798,5118.76278688,0.373850627145,684.508481405,1248741.19295,136.803373461,-5.65582280666,-5.11340076295,15.1564943222,13.7029097764
13.5,17.4,6960,0.5,91,0.686677433291,0.492440455065,5141.07835087,0.375480452153,711.975578736,1249402.74752,136.875848765,-5.15153333277,-7.86852847979,13.7496854864,21.0014737068
14,17.3,6920,0.5,88,0.71067479675,0.497251321708,5161.46871933,0.376969669831,740.402570606,1249547.50091,136.891706936,-8.03662341572,-8.63340544586,21.3612123406,22.9474491229
14.5,17.2,6880,0.5,91,0.678496004663,0.502109404779,5181.76905732,0.378452312103,767.542410793,1249623.21976,136.900002165,-6.8395021983,-7.15287737657,18.1077658894,18.9374350962
15,17.1,6840,0.5,83,0.681885810393,0.507190166832,5203.77111169,0.380059239826,794.817843209,1250060.3913,136.947895629,-5.27337803846,-7.08971296205,13.9045424557,18.6937507913
15.5,17,6800,0.5,82,0.628647074246,0.512547453033,5227.98402093,0.381827638105,819.963726179,1250975.87451,137.048189583,-0.93297373302,-4.75142980119,2.44911353652,12.4727959985
16,16.9,6760,0.5,87,0.720891532918,0.518020178517,5252.72461016,0.383634575676,848.799387495,1251962.06698,137.15622995,-4.09507208679,-8.22461773151,10.6996061022,21.4892847313
16.5,16.8,6720,0.5,87,0.716478319201,0.523560215265,5277.48696987,0.385443103262,877.458520263,1252897.16351,137.258672602,-3.89677306305,-7.82783818014,10.1336267318,20.3564305518
17,16.7,6680,0.5,102,0.771634914772,0.529502150993,5305.61155295,0.387497192006,908.323916854,1254570.77393,137.442021684,-2.74081350952,-9.80450766068,7.09191518751,25.3693790341
17.5,16.6,6640,0.5,89,0.739843551308,0.535102341412,5329.61932046,0.389250607688,937.917658906,1255211.71403,137.51223861,-5.58597453945,-8.30196532791,14.3829813014,21.3762184616
18,16.5,6600,0.5,82,0.60602785555,0.541201464572,5357.89449927,0.391315695243,962.158773128,1256798.12012,137.686034194,4.03406458234,-2.71540710778,-10.3362509173,6.95753095563
18.5,16.4,6560,0.5,89,0.718203840511,0.547438160598,5386.79150029,0.393426197801,990.886926749,1258465.94208,137.868749133,0.168847401131,-6.95574286885,-0.430325952082,17.7274666499
19,16.3,6520,0.5,75,0.551157069778,0.553010569198,5408.44336675,0.395007549427,1012.93320954,1258382.75455,137.859635687,-0.394416325183,-0.0376094403178,1.00050594376,0.0954029186347
19.5,16.2,6480,0.5,102,0.779539657038,0.559441865631,5437.77493393,0.397149790676,1044.11479582,1260027.3539,138.039806518,-1.85001910297,-8.93293464785,4.67083749481,22.5534352726
20,16.1,6440,0.5,74,0.600046298593,0.566054480704,5468.0862836,0.39936359068,1068.11664777,1261831.44171,138.237449793,6.30949772119,-1.49234059875,-15.8427915183,3.7471827434
20.5,16,6400,0.5,77,0.657735351535,0.572675526613,5497.68505548,0.401525347318,1094.42606183,1263403.02916,138.40962195,3.28935782719,-3.53522464984,-8.21426710027,8.82825191386
21,15.9,6360,0.5,85,0.623914173832,0.579577454935,5529.16892008,0.40382478236,1119.38262878,1265338.36548,138.621643896,6.52729763857,-1.91195011283,-16.209838176,4.74812145021
21.5,15.8,6320,0.5,82,0.584019238135,0.586834764239,5563.19356499,0.40630978418,1142.74339831,1267781.17123,138.889260652,10.6638753863,-0.0330123471189,-26.3261829004,0.081498428736
22,15.7,6280,0.5,88,0.706923759448,0.5943747099,5599.00976725,0.408925633016,1171.02034868,1270553.80716,139.193011301,7.539251888,-4.65328317994,-18.4958889886,11.4158023113
22.5,15.6,6240,0.5,92,0.745657244894,0.602315672006,5637.67468998,0.411749539146,1200.84663848,1273889.66129,139.558464208,8.83863293058,-5.89306073615,-21.5399057518,14.361493892
23,15.5,6200,0.5,89,0.684942170714,0.609472731613,5668.096404,0.41397139965,1228.24432531,1275284.5418,139.711277585,3.0240271923,-3.16236891651,-7.32457432099,7.65965538218
23.5,15.4,6160,0.5,95,0.732230775169,0.617084627975,5701.86196249,0.416437479002,1257.53355631,1277357.8508,139.938414855,4.47632748081,-4.75859011744,-10.7810202802,11.4608363176
24,15.3,6120,0.5,97,0.789670628196,0.625055054208,5738.00539763,0.419077227405,1289.12038144,1279884.093,140.215172327,4.55661001464,-6.74458313096,-10.9073125337,16.1447382775
24.5,15.2,6080,0.5,87,0.636369743784,0.633126044351,5774.10952448,0.421714104914,1314.57517119,1282319.19877,140.481945527,10.6493371002,-0.291725228796,-25.3317004847,0.693930152659
25,15.1,6040,0.5,85,0.679809762625,0.641140151436,5808.72977201,0.424242606778,1341.7675617,1284343.5425,140.703718503,7.42785701959,-1.70760614025,-17.5608442298,4.03710051979
25.5,15,6000,0.5,68,0.506228297388,0.64839552961,5835.55976649,0.426202144792,1362.01669359,1284572.92037,140.728847543,6.58086258827,5.54114704628,-15.4762847936,-13.0311746555
26,14.9,5960,0.5,92,0.737131257471,0.656535711438,5869.42926025,0.428675815093,1391.50194389,1286279.81213,140.915842697,4.38424346312,-3.38716719278,-10.2570043184,7.92432920657
26.5,14.8,5920,0.5,111,0.898148682972,0.665649787357,5910.97011173,0.431709765683,1427.42789121,1289581.0484,141.277503111,5.61490416205,-9.48292334103,-13.0520647661,22.0434269307
27,14.7,5880,0.5,88,0.681944372809,0.67373911745,5942.37901591,0.434003725965,1454.70566612,1290587.06125,141.387714861,4.13112926343,-0.490516152825,-9.54387173883,1.13320667301
27.5,14.6,5840,0.5,97,0.817293747035,0.682213163342,5976.18731087,0.43647292659,1487.39741601,1292036.67087,141.546523978,1.11654508229,-5.57326808091,-2.56536480102,12.8050949202
28,14.5,5800,0.5,85,0.645270529097,0.690462478393,6007.02356202,0.438725062958,1513.20823717,1292766.4481,141.62647328,5.02542998058,1.6421647083,-11.4840985482,-3.75267020243
28.5,14.4,5760,0.5,83,0.703440755334,0.698956229992,6038.98182713,0.441059146007,1541.34586738,1293661.89441,141.724572131,3.82063489961,-0.349807926108,-8.68539094172,0.7952130137
29,14.3,5720,0.5,99,0.794818669958,0.707919843781,6073.95225964,0.443613223754,1573.13861418,1295122.35843,141.88457038,3.17768571541,-3.65583325833,-7.18387015132,8.26482974553
29.5,14.2,5680,0.5,99,0.790700510156,0.716994517492,6108.79328903,0.446157850499,1604.76663459,1296471.75912,142.032401306,3.21300897745,-3.13034803655,-7.22210256194,7.03629984639
30,14.1,5640,0.5,122,0.908469618171,0.72655882604,6146.6876683,0.448925479718,1641.10541931,1298382.40882,142.241718758,1.55559454326,-7.46839438463,-3.47586529821,16.6875957411
30.5,14,5600,0.5,106,0.960913113386,0.736305272814,6184.96429163,0.451721026266,1679.54194385,1300283.21249,142.449957547,-0.159901200036,-9.17993567304,0.355080931251,20.3852135373
31,13.9,5560,0.5,109,0.873528071824,0.745863669713,6220.50300541,0.454316608633,1714.48306672,1301519.78053,142.585427314,0.597590898206,-5.29839949517,-1.31913040957,11.6957602887
31.5,13.8,5520,0.5,115,0.904280431265,0.755840052563,6258.35563522,0.457081188666,1750.65428397,1303151.86934,142.764227579,1.68141256435,-6.13784874342,-3.68974463035,13.4690883862
32,13.7,5480,0.5,119,1.1069292696,0.766660779567,6301.95160804,0.460265235761,1794.93145476,1305882.72624,143.06340121,-0.68119796185,-13.8279819644,1.48514878068,30.1477862587
32.5,13.6,5440,0.5,120,1.08661639916,0.777538629863,6344.71521969,0.463388491067,1838.39611072,1308338.5594,143.332445157,-0.701044323445,-12.5814895498,1.51798082568,27.242870752
33,13.5,5400,0.5,127,1.18790129521,0.788851399904,6389.69633922,0.466673702835,1885.91216253,1311147.2456,143.640145223,-2.53493227466,-16.1891309909,5.45110271395,34.8130073388
33.5,13.4,5360,0.5,128,1.08846293895,0.799933579682,6431.46598065,0.469724363179,1929.45068009,1313193.05583,143.86426992,-1.76887613145,-11.7636433248,3.77804311147,25.1253046152
34,13.3,5320,0.5,141,1.2416981966,0.811878035717,6478.78672502,0.473180450265,1979.11860795,1316265.54374,144.200870261,-2.34718348837,-17.4326514622,4.97862234853,36.9764820662
34.5,13.2,5280,0.5,147,1.2302391178,0.82388996024,6525.2084851,0.476570879718,2028.32817267,1319043.38888,144.505191595,-2.78780463649,-16.4951532615,5.87059906837,34.7357307978
35,13.1,5240,0.5,148,1.3317024419,0.836114175582,6571.85742007,0.479977900969,2081.59627034,1321755.31327,144.802291112,-6.61916270032,-20.0689818351,13.8396762067,41.9612302901
35.5,13,5200,0.5,137,1.2055986902,0.848188335178,6615.86901439,0.483192303125,2129.82021795,1323826.89963,145.029239661,-4.21235329448,-14.5388211812,8.74685133857,30.1895160781
36,12.9,5160,0.5,148,1.24347802983,0.860487581866,6660.17388364,0.486428124718,2179.55933914,1325849.13586,145.250781755,-5.43425193929,-15.5665472666,11.2090293959,32.1085381858
36.5,12.8,5120,0.5,147,1.44797248132,0.873559822938,6708.93944017,0.489989734163,2237.4782384,1328645.90468,145.557176235,-9.15334272675,-23.2390097091,18.7488228395,47.6005421198
37,12.7,5080,0.5,139,1.28545168968,0.886708944013,6756.72215338,0.493479561304,2288.89630598,1331130.42369,145.829362806,-3.6353543725,-16.2137436418,7.39291890301,32.972546711
37.5,12.6,5040,0.5,158,1.39024000373,0.900410119973,6807.10050699,0.497158961948,2344.50590613,1334006.44642,146.144439792,-5.23124653656,-19.8683474978,10.5613630275,40.1122044649
38,12.5,5000,0.5,164,1.48191912748,0.914222663605,6856.66997704,0.500779285498,2403.78267123,1336601.64253,146.428751373,-9.70729505316,-22.9852354733,19.4547008856,46.0654464986
38.5,12.4,4960,0.5,133,1.26286560271,0.927851041781,6903.21175085,0.504178480197,2454.29729534,1338487.70797,146.635375544,-3.97285029663,-13.6742240773,7.90650200883,27.2135298499
39,12.3,4920,0.5,140,1.18948453652,0.941623245967,6949.17955523,0.507535754837,2501.8766768,1340146.70445,146.817123625,-1.61157707876,-10.1909753145,3.18583454291,20.1459561636
39.5,12.2,4880,0.5,163,1.51497281605,0.956489417225,7001.50253409,0.511357181864,2562.47558944,1342908.86042,147.119726163,-8.27593378869,-22.6379074745,16.244952714,44.4362830658
40,12.1,4840,0.5,158,1.45592690549,0.972089375794,7057.36886826,0.515437399084,2620.71266566,1346217.19281,147.48216398,-2.37074204178,-19.6668606315,4.61775331846,38.3072933894
40.5,12,4800,0.5,172,1.43042207693,0.987655966077,7111.12295575,0.51936334763,2677.92954874,1348986.96687,147.785601103,-3.46279559004,-18.0233010452,6.69268088767,34.8343410118
41,11.9,4760,0.5,145,1.22645724371,1.00356337083,7165.44246772,0.52333059215,2726.98783849,1351729.28486,148.08603033,5.26122222,-9.23526390268,-10.0915945116,17.7142372279
41.5,11.8,4720,0.5,160,1.47322199972,1.01988351333,7220.77527435,0.527371842999,2785.91671848,1354525.65711,148.392381366,-3.59607336107,-18.4613522352,6.84508428032,35.1409716349
42,11.7,4680,0.5,170,1.53682914064,1.03699300356,7279.69088499,0.531674765191,2847.3898841,1357851.41147,148.756727812,-2.55755498397,-20.3371673161,4.82991959786,38.4065576696
42.5,11.6,4640,0.5,171,1.57010682825,1.05440601157,7338.66584053,0.535982021657,2910.19415723,1361040.89399,149.106145266,-3.82931758836,-20.9778506443,7.17331193981,39.2969930088
43,11.5,4600,0.5,161,1.39600072483,1.07141277186,7392.74812583,0.539931940245,2966.03418623,1363179.99862,149.340490646,-1.7577436945,-13.3251031612,3.26744285648,24.7698303638
43.5,11.4,4560,0.5,151,1.41701966458,1.09036851278,7458.12062739,0.544706443718,3022.71497281,1367250.33797,149.78640863,8.69171497417,-13.4469638463,-16.0269359866,24.7952940724
44,11.3,4520,0.5,149,1.391030851,1.10897938901,7518.88025745,0.549144044512,3078.35620685,1370316.43333,150.122308647,5.11839602741,-11.6559645246,-9.35849292473,21.3118056811
44.5,11.2,4480,0.5,163,1.47673858054,1.12876466557,7585.29855263,0.553994927887,3137.42575007,1374253.2181,150.553595322,7.34875195264,-14.3165542545,-13.3233475319,25.9560302241
45,11.1,4440,0.5,144,1.27925163924,1.14831375315,7647.769596,0.558557522349,3188.59581564,1377311.53012,150.888642651,11.3009778057,-5.63029544273,-20.3154067987,10.1214022612
45.5,11,4400,0.5,165,1.636537337,1.16907853133,7715.91830681,0.563534787234,3254.05730912,1381226.21606,151.317508333,2.68721732171,-19.1156576037,-4.78965464562,34.0714528393
46,10.9,4360,0.5,179,1.78564440485,1.19141161032,7791.83193152,0.569079165317,3325.48308531,1386349.22329,151.878749265,4.48784852375,-24.2182911915,-7.9247629144,42.765306108
46.5,10.8,4320,0.5,163,1.46836662395,1.21196281145,7853.51901819,0.573584503227,3384.21775027,1388765.34903,152.143443146,2.95242170749,-10.6690500567,-5.1676128134,18.6739989209
47,10.7,4280,0.5,147,1.29237848095,1.23297648988,7915.709065,0.578126575007,3435.91288951,1391108.73404,152.400168059,10.4949075753,-2.79827778944,-18.2248964583,4.85933988536
47.5,10.6,4240,0.5,173,1.58314745404,1.25574710639,7986.55159666,0.583300584039,3499.23878767,1394800.0269,152.804560353,7.51663349713,-13.5536672818,-12.9437880604,23.3396768384
48,10.5,4200,0.5,184,1.80584146426,1.27952588877,8061.01309923,0.588738905875,3571.47244624,1398936.15584,153.257685784,2.22784400354,-21.5306073489,-3.80165348133,36.7404128176
48.5,10.4,4160,0.5,181,1.68711816427,1.30334073109,8132.84616203,0.593985258693,3638.95717281,1402426.74521,153.640090404,4.34833622222,-15.8297500634,-7.35308595611,26.7682872095
49,10.3,4120,0.5,203,1.902467782,1.32892014796,8212.72651442,0.599819348117,3715.05588409,1407108.47652,154.152988225,3.7816411154,-23.4561915359,-6.33544399783,39.2965337914
49.4926108374,10.2014778325,4080.591133,0.492610837438,182,1.88317693184,1.35428348334,8289.41576053,0.60542037398,3789.26975333,1411176.65856,154.598669868,2.47537687622,-21.3454085236,-4.1076921559,35.4210173001
49.9926108374,10.1014778325,4040.591133,0.5,192,1.86714003332,1.37987451254,8363.26308007,0.610813838743,3863.95535466,1414428.84236,154.954956438,-0.83828179739,-20.0050042338,1.37848744694,32.8966312977
50.4926108374,10.0014778325,4000.591133,0.5,224,2.3421433252,1.40826782201,8450.85564245,0.617211192116,3957.64108767,1419794.6525,155.542797162,-6.09317062641,-37.9260435708,9.9235283863,61.7675415691
50.5,10,4000,0.00738916256157,3,2.56610296034,1.40875165952,8452.50995714,0.617332015567,3959.15799582,1419932.69593,155.557920237,0.137406530872,-0.684291572705,-0.222603032469,1.10857452124
