time,Lx,V,P_impulse,P_IG,U,T,W_cum,PV_gamma(IG),T*V^(gamma-1),events,alpha_upper,alpha_IG,sigma_upper,sigma_IG
0.6,19.9995,7999.8,0.339768900309,0.376482695659,4517.6794031,0.329950292368,0.0679537800618,1204694.42884,131.977917269,9,0.0253797878839,0.00734104006122,-0.076920829113,-0.0222491571106
0.8,19.9985,7999.4,0.378119491871,0.37651416565,4517.83112505,0.329961373433,0.21920157681,1204694.72818,131.977950063,24,0.000474145661141,-0.000648424627645,-0.00143699736105,0.00196518613399
1.2,19.9965,7998.6,0.456569268493,0.376582010127,4518.1932993,0.329987824956,0.584456991605,1204710.97637,131.979730102,51,-0.0030811583334,-0.0640169457794,0.00933756216667,0.194005677818
1.7,19.994,7997.6,0.509506993343,0.376666378519,4518.64054327,0.330020489576,1.09396398495,1204729.80533,131.981792871,69,-0.0622630247729,-0.132882801533,0.188673455779,0.402670083415
2.2,19.9915,7996.6,0.446865726555,0.376748369986,4519.05902315,0.3300510534,1.5408297115,1204740.94197,131.983012924,59,-0.0283858474613,-0.0701583546768,0.0860083964031,0.212578031649
2.7,19.989,7995.6,0.490589520271,0.376836049867,4519.54548048,0.330086581981,2.03141923177,1204770.1765,131.986215655,64,-0.00413218941172,-0.113797313062,0.0125191753666,0.344768445135
3.2,19.9865,7994.6,0.424608936494,0.376917811289,4519.9607012,0.330116907771,2.45602816827,1204780.39733,131.987335378,58,-0.00938821898565,-0.0477320082711,0.0284403797659,0.144597867209
3.7,19.984,7993.6,0.436265266194,0.377006609014,4520.46004472,0.330153377499,2.89229343446,1204813.0163,131.990908885,61,0.0630782531873,-0.0593030588333,-0.191067975023,0.179632675152
4.2,19.9815,7992.6,0.402921433673,0.37709165753,4520.91417296,0.330186544914,3.29521486814,1204833.55891,131.99315939,58,0.0512068067834,-0.0258723029537,-0.155092263985,0.0783605596924
4.7,19.979,7991.6,0.356052022934,0.377163892755,4521.21444802,0.330208475607,3.65126689107,1204813.07835,131.990915682,53,-0.0557769654364,0.0210757503315,0.168920006067,-0.0638277081945
5.2,19.9765,7990.6,0.400233984699,0.377245581582,4521.62781629,0.330238666103,4.05150087577,1204822.7148,131.991971385,55,0.0131342861139,-0.0230292498797,-0.0397739206802,0.0697383588339
5.7,19.974,7989.6,0.523740099576,0.377337263966,4522.16070627,0.330277585909,4.57524097534,1204864.17351,131.996513312,70,0.00914988323491,-0.146448679797,-0.0277052478483,0.443437021725
6.2,19.9715,7988.6,0.568514162205,0.377432162521,4522.73186027,0.330319300341,5.14375513755,1204915.79838,132.002168972,71,0.00263983550877,-0.191129452198,-0.00799227354449,0.578656836495
6.7,19.969,7987.6,0.497062591134,0.377515529816,4523.16456894,0.33035090337,5.64081772868,1204930.51305,132.003781009,63,-0.0643539222118,-0.119588747412,0.194814059573,0.362022524221
7.2,19.9665,7986.6,0.44432322567,0.377594254313,4523.54140725,0.330378425887,6.08514095435,1204930.32217,132.003760098,64,-0.0674849144358,-0.0667683357948,0.20427400888,0.202104955353
7.7,19.964,7985.6,0.358185780538,0.37766519999,4523.82483156,0.330399125881,6.44332673489,1204905.22984,132.001011156,57,-0.0747614657968,0.019443944792,0.226283310009,-0.058851711109
8.2,19.9615,7984.6,0.46132155606,0.377741063535,4524.16694385,0.330424112172,6.90464829095,1204895.75073,131.999972692,59,-0.119209264943,-0.0836184263405,0.360790172253,0.253073504458
