time,Lx,V,P_impulse,P_IG,U,T,W_cum,PV_gamma(IG),T*V^(gamma-1),events,alpha_upper,alpha_IG,sigma_upper,sigma_IG
1,19.9975,7999,0.391576687046,0.37654905831,4518.02387614,0.329975451076,0.391576687046,1204705.96435,131.97918102,58,0.0462299149189,-0.0150694074557,-0.140107861865,0.045670481157
1.5,19.995,7998,0.524616996289,0.376634105328,4518.47936162,0.330008717618,0.916193683335,1204727.00009,131.981485549,68,-0.0691315119203,-0.148025417024,0.209494455169,0.448572629604
2,19.9925,7997,0.438908101909,0.376709156047,4518.81468136,0.330033207812,1.35510178524,1204715.97522,131.980277741,59,-0.103588366546,-0.0622364732313,0.313884202063,0.188583393974
2.5,19.99,7996,0.482975221717,0.37679793687,4519.31445482,0.330069708941,1.83807700696,1204748.77096,131.983870614,68,0.0167982397148,-0.106221678053,-0.0508958202985,0.32183368792
3,19.9875,7995,0.481316620373,0.37689059128,4519.86041592,0.330109583401,2.31939362734,1204793.85187,131.988809364,59,0.0646444833456,-0.104472359366,-0.195839173072,0.316496929177
3.5,19.985,7994,0.409664373168,0.376969034655,4520.23569455,0.330136992006,2.7290580005,1204793.41176,131.988761148,61,-0.0343857428507,-0.0327345623792,0.104160306563,0.0991585980102
4,19.9825,7993,0.409520929877,0.377060764429,4520.77003513,0.330176017757,3.13857893038,1204835.34254,131.993354792,62,0.124819643115,-0.0325060333347,-0.378062044121,0.098456437641
4.5,19.98,7992,0.395531201723,0.377135369489,4521.09880943,0.330200029903,3.5341101321,1204822.46426,131.991943938,53,-0.0667568960991,-0.0184331367502,0.202178429505,0.055826182114
5,19.9775,7991,0.401281381922,0.377220094277,4521.54866006,0.3302328849,3.93539151403,1204841.82997,131.99406551,54,0.0485692430403,-0.0241036525715,-0.147083047957,0.0729934926961
5.5,19.975,7990,0.492331692588,0.377306185703,4522.01463565,0.330266917591,4.42772320661,1204865.4679,131.996655116,65,-0.0263560948803,-0.115068555207,0.0798065185814,0.348428734643
6,19.9725,7989,0.519502359977,0.377395338521,4522.51703916,0.330303610807,4.94722556659,1204898.78611,132.000305227,68,-0.0170988493451,-0.142151600682,0.0517699431327,0.430390380955
6.5,19.97,7988,0.540071759908,0.377482178518,4522.991463,0.330338260517,5.4872973265,1204924.62401,132.003135847,69,-0.065647920277,-0.162633004044,0.198739810861,0.492348460196
7,19.9675,7987,0.39269806508,0.377565197117,4523.41984405,0.330369547477,5.87999539158,1204938.17184,132.004620053,58,0.0356829851944,-0.0151743796888,-0.108014419574,0.0459337077757
7.5,19.965,7986,0.450028650097,0.377647552191,4523.84002769,0.330400235736,6.33002404168,1204949.513,132.005862511,63,-0.0298450118159,-0.0724222778316,0.090334069669,0.2192057799
8,19.9625,7985,0.344964406837,0.377714541946,4524.07592615,0.330417464662,6.67498844851,1204911.75001,132.001725462,49,-0.109065945918,0.0327166385765,0.330093899884,-0.0990186508527
8.5,19.96,7984,0.45037546024,0.377793448426,4524.45433834,0.330445102129,7.12536390875,1204911.92531,132.001744666,62,-0.0719632698906,-0.0726214672525,0.217785886225,0.219777820387
9,19.9575,7983,0.438043834786,0.377877303057,4524.89176546,0.330477049771,7.56340774354,1204927.79458,132.003483192,65,-0.00061671993114,-0.0602084615206,0.00186624076487,0.182195320122
9.5,19.955,7982,0.429146329666,0.377956851884,4525.27738761,0.330505213819,7.9925540732,1204929.84627,132.003707961,60,-0.043524175984,-0.0512292544222,0.131695442923,0.155009467709
